episode,form,second form
1,cat,
2,cat,
3,sparrow,
4,sparrow,
5,sparrow,
6,sparrow,
7,sparrow,
8,cat,
9,cat,
10,cat,
11,cat,
12,cat,
13,cat,
14,cat,
15,cat,
16,cat,
17,cat,
18,cat,
19,cat,
20,cat,
21,cat,
22,cat,
23,cat,
24,cat,
25,cat,
26,falcon,owl
27,falcon,
28,spider,
29,spider,
30,spider,
31,cat,
32,cat,
33,cat,
34,octopus,
35,octopus,
36,tiny owl,
37,tiny owl,
38,tiny owl,
39,tiny owl,
40,tiny owl,
41,tiny owl,
42,tiny owl,
43,cat,octopus
44,octopus,
45,cat,
46,octopus,
47,octopus,
48,octopus,
49,octopus,
50,octopus,
51,cat,
52,cat,
53,cat,
54,cat,
55,cat,
56,cat,
57,cat,
58,cat,
59,cat,
60,cat,
61,cat,
62,cat,
63,cat,
64,vulture,
65,vulture,
66,vulture,
67,vulture,
68,vulture,
69,vulture,
70,cat,
71,cat,
72,cat,
73,cat,
74,cat,
75,cat,
76,cat,
77,cat,
78,cat,
79,cat,
80,cat,
81,cat,
82,cat,
83,cat,
84,cat,
85,cat,
86,cat,
87,cat,
88,cat,
89,cat,
90,cat,
91,cat,
92,raven,
93,raven,
94,monkey,